waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-04-27T00:00,Node_Warkop_Kusuma,24.5,30.1,96,Clouds,Mendung,3.1,0.0,100
2026-04-27T01:00,Node_Warkop_Kusuma,25.1,30.5,95,Clouds,Mendung,6.2,0.0,97
2026-04-27T02:00,Node_Warkop_Kusuma,25.1,30.3,94,Clouds,Mendung,7.1,0.0,89
2026-04-27T03:00,Node_Warkop_Kusuma,24.9,29.9,94,Clouds,Mendung,6.6,0.0,95
2026-04-27T04:00,Node_Warkop_Kusuma,24.5,29.3,94,Clouds,Berawan,6.5,0.0,64
2026-04-27T05:00,Node_Warkop_Kusuma,24.2,28.8,95,Clouds,Berawan,7.5,0.0,67
2026-04-27T06:00,Node_Warkop_Kusuma,24.2,28.8,94,Clouds,Mendung,7.3,0.0,95
2026-04-27T07:00,Node_Warkop_Kusuma,25.8,30.6,90,Clouds,Mendung,8.0,0.0,100
2026-04-27T08:00,Node_Warkop_Kusuma,27.5,32.5,82,Clouds,Mendung,8.9,0.0,100
2026-04-27T09:00,Node_Warkop_Kusuma,29.0,34.0,75,Clouds,Mendung,8.3,0.0,98
2026-04-27T10:00,Node_Warkop_Kusuma,30.5,35.7,65,Clouds,Mendung,8.5,0.0,81
2026-04-27T11:00,Node_Warkop_Kusuma,31.2,36.4,61,Clouds,Sebagian Berawan,6.5,0.0,47
2026-04-27T12:00,Node_Warkop_Kusuma,31.5,36.9,59,Clouds,Berawan,4.5,0.0,50
2026-04-27T13:00,Node_Warkop_Kusuma,31.3,36.1,57,Drizzle,Gerimis Ringan,4.4,0.1,80
2026-04-27T14:00,Node_Warkop_Kusuma,29.2,33.5,68,Drizzle,Gerimis Ringan,7.6,0.4,97
2026-04-27T15:00,Node_Warkop_Kusuma,29.4,34.3,70,Drizzle,Gerimis Ringan,5.1,0.2,98
2026-04-27T16:00,Node_Warkop_Kusuma,28.2,32.8,74,Drizzle,Gerimis Sedang,6.8,0.5,100
2026-04-27T17:00,Node_Warkop_Kusuma,27.4,32.7,81,Clouds,Mendung,4.9,0.0,100
2026-04-27T18:00,Node_Warkop_Kusuma,26.5,31.4,86,Clouds,Mendung,7.9,0.0,100
2026-04-27T19:00,Node_Warkop_Kusuma,26.6,31.4,85,Clouds,Mendung,8.3,0.0,100
2026-04-27T20:00,Node_Warkop_Kusuma,26.4,31.1,86,Clouds,Mendung,9.5,0.0,100
2026-04-27T21:00,Node_Warkop_Kusuma,26.0,30.5,87,Clouds,Mendung,10.1,0.0,100
2026-04-27T22:00,Node_Warkop_Kusuma,25.8,30.4,88,Drizzle,Gerimis Ringan,8.9,0.2,100
2026-04-27T23:00,Node_Warkop_Kusuma,25.3,30.1,91,Drizzle,Gerimis Sedang,7.6,0.6,100
