waktu,kota,weather_code,suhu,suhu_terasa,kelembapan,kecepatan_angin,curah_hujan,tempat,cloudness
2026-05-18T00:00,Surakarta,3,24.8,28.1,87,13.4,0.0,Warkop Kusuma,100
2026-05-18T01:00,Surakarta,3,24.9,28.2,87,13.5,0.0,Warkop Kusuma,100
2026-05-18T02:00,Surakarta,3,24.6,27.8,87,13.7,0.0,Warkop Kusuma,100
2026-05-18T03:00,Surakarta,3,24.5,27.6,87,14.1,0.0,Warkop Kusuma,99
2026-05-18T04:00,Surakarta,3,24.4,27.4,88,14.0,0.0,Warkop Kusuma,91
2026-05-18T05:00,Surakarta,3,24.2,27.3,88,12.8,0.0,Warkop Kusuma,82
2026-05-18T06:00,Surakarta,2,24.1,27.4,89,11.8,0.0,Warkop Kusuma,77
2026-05-18T07:00,Surakarta,1,25.5,29.2,86,11.8,0.0,Warkop Kusuma,27
2026-05-18T08:00,Surakarta,1,26.9,30.4,78,12.8,0.0,Warkop Kusuma,29
2026-05-18T09:00,Surakarta,0,28.0,31.5,72,12.6,0.0,Warkop Kusuma,9
2026-05-18T10:00,Surakarta,1,29.3,33.5,66,12.4,0.0,Warkop Kusuma,20
2026-05-18T11:00,Surakarta,1,30.3,34.8,62,12.4,0.0,Warkop Kusuma,27
2026-05-18T12:00,Surakarta,1,30.9,35.4,59,13.0,0.0,Warkop Kusuma,47
2026-05-18T13:00,Surakarta,0,31.2,36.0,58,10.4,0.0,Warkop Kusuma,7
2026-05-18T14:00,Surakarta,1,31.0,35.1,58,9.6,0.0,Warkop Kusuma,39
2026-05-18T15:00,Surakarta,51,30.5,34.0,60,9.1,0.1,Warkop Kusuma,64
2026-05-18T16:00,Surakarta,51,29.5,33.1,64,9.5,0.1,Warkop Kusuma,23
2026-05-18T17:00,Surakarta,1,28.0,32.1,75,9.4,0.0,Warkop Kusuma,20
2026-05-18T18:00,Surakarta,1,26.8,31.2,81,8.5,0.0,Warkop Kusuma,33
2026-05-18T19:00,Surakarta,1,26.9,30.7,80,11.8,0.0,Warkop Kusuma,32
2026-05-18T20:00,Surakarta,1,26.1,29.8,82,11.1,0.0,Warkop Kusuma,27
2026-05-18T21:00,Surakarta,2,25.6,29.6,84,9.3,0.0,Warkop Kusuma,67
2026-05-18T22:00,Surakarta,0,25.4,29.4,85,8.6,0.0,Warkop Kusuma,19
2026-05-18T23:00,Surakarta,1,25.0,29.3,87,6.9,0.0,Warkop Kusuma,30
2026-05-19T00:00,Surakarta,1,24.5,29.3,90,4.2,0.0,Warkop Kusuma,21
2026-05-19T01:00,Surakarta,1,24.5,29.8,91,1.6,0.0,Warkop Kusuma,21
2026-05-19T02:00,Surakarta,0,24.0,29.3,94,1.7,0.0,Warkop Kusuma,9
2026-05-19T03:00,Surakarta,0,23.6,28.9,96,1.7,0.0,Warkop Kusuma,3
2026-05-19T04:00,Surakarta,0,23.5,28.7,97,2.2,0.0,Warkop Kusuma,3
2026-05-19T05:00,Surakarta,0,23.4,28.6,98,1.2,0.0,Warkop Kusuma,5
2026-05-19T06:00,Surakarta,0,23.4,28.3,96,2.7,0.0,Warkop Kusuma,16
2026-05-19T07:00,Surakarta,0,25.0,30.0,87,1.8,0.0,Warkop Kusuma,4
2026-05-19T08:00,Surakarta,0,26.9,32.2,79,0.9,0.0,Warkop Kusuma,2
2026-05-19T09:00,Surakarta,0,28.6,33.6,73,4.5,0.0,Warkop Kusuma,5
2026-05-19T10:00,Surakarta,51,29.5,34.2,69,8.0,0.1,Warkop Kusuma,23
2026-05-19T11:00,Surakarta,51,30.2,35.4,65,9.1,0.1,Warkop Kusuma,24
2026-05-19T12:00,Surakarta,51,30.6,36.2,64,8.7,0.1,Warkop Kusuma,38
2026-05-19T13:00,Surakarta,51,31.2,36.3,60,8.9,0.1,Warkop Kusuma,49
2026-05-19T14:00,Surakarta,51,30.8,35.4,63,8.4,0.3,Warkop Kusuma,50
2026-05-19T15:00,Surakarta,53,30.7,34.9,63,7.9,0.5,Warkop Kusuma,51
2026-05-19T16:00,Surakarta,55,29.0,33.8,72,6.5,1.0,Warkop Kusuma,63
2026-05-19T17:00,Surakarta,51,28.2,34.2,79,2.0,0.3,Warkop Kusuma,27
2026-05-19T18:00,Surakarta,1,27.0,33.6,90,2.5,0.0,Warkop Kusuma,30
2026-05-19T19:00,Surakarta,2,26.5,32.8,95,6.4,0.0,Warkop Kusuma,55
2026-05-19T20:00,Surakarta,0,26.1,32.1,94,5.1,0.0,Warkop Kusuma,16
2026-05-19T21:00,Surakarta,51,25.8,32.3,95,1.1,0.2,Warkop Kusuma,39
2026-05-19T22:00,Surakarta,0,25.6,31.3,95,5.8,0.0,Warkop Kusuma,6
2026-05-19T23:00,Surakarta,0,25.0,30.6,95,4.4,0.0,Warkop Kusuma,10
2026-05-20T00:00,Surakarta,0,24.6,29.8,96,5.9,0.0,Warkop Kusuma,18
2026-05-20T01:00,Surakarta,0,25.0,30.2,93,4.3,0.0,Warkop Kusuma,17
2026-05-20T02:00,Surakarta,0,24.5,29.4,93,5.1,0.0,Warkop Kusuma,13
2026-05-20T03:00,Surakarta,0,24.1,29.0,94,5.0,0.0,Warkop Kusuma,10
2026-05-20T04:00,Surakarta,1,24.0,28.7,94,5.1,0.0,Warkop Kusuma,34
2026-05-20T05:00,Surakarta,3,23.8,28.2,93,6.2,0.0,Warkop Kusuma,80
2026-05-20T06:00,Surakarta,3,23.8,28.1,92,6.0,0.0,Warkop Kusuma,81
2026-05-20T07:00,Surakarta,2,25.3,30.9,94,5.0,0.0,Warkop Kusuma,68
2026-05-20T08:00,Surakarta,2,27.2,32.8,83,4.2,0.0,Warkop Kusuma,58
2026-05-20T09:00,Surakarta,2,29.0,34.1,74,6.2,0.0,Warkop Kusuma,64
2026-05-20T10:00,Surakarta,51,30.1,34.9,66,9.7,0.1,Warkop Kusuma,63
2026-05-20T11:00,Surakarta,51,30.7,35.9,65,10.9,0.1,Warkop Kusuma,75
2026-05-20T12:00,Surakarta,51,31.2,36.9,63,10.3,0.1,Warkop Kusuma,78
2026-05-20T13:00,Surakarta,51,30.7,36.0,65,9.9,0.2,Warkop Kusuma,84
2026-05-20T14:00,Surakarta,53,28.4,32.5,72,11.9,0.7,Warkop Kusuma,94
2026-05-20T15:00,Surakarta,61,27.5,32.2,81,9.0,1.3,Warkop Kusuma,84
2026-05-20T16:00,Surakarta,53,26.1,31.0,87,7.9,0.9,Warkop Kusuma,91
2026-05-20T17:00,Surakarta,51,25.6,29.9,90,11.0,0.1,Warkop Kusuma,83
2026-05-20T18:00,Surakarta,3,25.1,29.8,92,8.3,0.0,Warkop Kusuma,90
2026-05-20T19:00,Surakarta,2,26.2,31.2,88,8.7,0.0,Warkop Kusuma,77
2026-05-20T20:00,Surakarta,3,26.0,31.2,90,7.4,0.0,Warkop Kusuma,94
2026-05-20T21:00,Surakarta,3,25.8,31.1,92,7.0,0.0,Warkop Kusuma,81
2026-05-20T22:00,Surakarta,1,25.6,31.1,93,6.5,0.0,Warkop Kusuma,33
2026-05-20T23:00,Surakarta,1,25.5,30.9,94,6.5,0.0,Warkop Kusuma,23
2026-05-21T00:00,Surakarta,1,25.2,30.4,94,7.5,0.0,Warkop Kusuma,35
2026-05-21T01:00,Surakarta,0,25.7,31.2,93,6.1,0.0,Warkop Kusuma,13
2026-05-21T02:00,Surakarta,0,25.3,30.6,93,6.0,0.0,Warkop Kusuma,9
2026-05-21T03:00,Surakarta,1,25.0,30.1,94,5.6,0.0,Warkop Kusuma,22
2026-05-21T04:00,Surakarta,0,24.8,29.8,94,6.1,0.0,Warkop Kusuma,16
2026-05-21T05:00,Surakarta,1,24.6,29.4,94,7.1,0.0,Warkop Kusuma,20
2026-05-21T06:00,Surakarta,0,24.6,29.2,94,8.0,0.0,Warkop Kusuma,13
2026-05-21T07:00,Surakarta,0,26.5,31.5,87,8.5,0.0,Warkop Kusuma,7
2026-05-21T08:00,Surakarta,2,28.1,33.6,82,7.8,0.0,Warkop Kusuma,63
2026-05-21T09:00,Surakarta,3,29.6,34.5,73,10.5,0.0,Warkop Kusuma,96
2026-05-21T10:00,Surakarta,3,30.7,35.3,66,11.2,0.0,Warkop Kusuma,91
2026-05-21T11:00,Surakarta,3,31.2,36.3,63,11.1,0.0,Warkop Kusuma,98
2026-05-21T12:00,Surakarta,3,31.3,37.0,65,9.3,0.0,Warkop Kusuma,92
2026-05-21T13:00,Surakarta,3,31.7,38.0,65,8.5,0.0,Warkop Kusuma,99
2026-05-21T14:00,Surakarta,3,31.1,36.3,67,9.3,0.0,Warkop Kusuma,97
2026-05-21T15:00,Surakarta,53,29.2,33.7,74,12.1,0.7,Warkop Kusuma,90
2026-05-21T16:00,Surakarta,51,28.9,34.4,77,6.3,0.2,Warkop Kusuma,90
2026-05-21T17:00,Surakarta,51,27.5,33.1,83,5.1,0.3,Warkop Kusuma,94
2026-05-21T18:00,Surakarta,51,26.8,32.7,90,5.6,0.1,Warkop Kusuma,94
2026-05-21T19:00,Surakarta,3,27.4,34.1,92,4.6,0.0,Warkop Kusuma,98
2026-05-21T20:00,Surakarta,3,26.6,33.7,97,3.0,0.0,Warkop Kusuma,97
2026-05-21T21:00,Surakarta,3,26.2,33.5,99,0.8,0.0,Warkop Kusuma,95
