waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2026-05-18T06:00,Node_Warkop_Kusuma,32.46,39.46,69,Clouds,Mendung,3.79,0.0,94
2026-05-18T09:00,Node_Warkop_Kusuma,31.87,38.87,71,Rain,Hujan Ringan,4.7,0.23,91
2026-05-18T12:00,Node_Warkop_Kusuma,29.69,36.69,83,Rain,Hujan Ringan,2.29,0.56,87
2026-05-18T15:00,Node_Warkop_Kusuma,27.58,32.89,93,Clear,Cerah,1.66,0.0,4
2026-05-18T18:00,Node_Warkop_Kusuma,26.99,31.24,95,Clear,Cerah,0.97,0.0,4
2026-05-18T21:00,Node_Warkop_Kusuma,23.09,23.96,96,Clouds,Sebagian Berawan,1.08,0.0,12
2026-05-19T00:00,Node_Warkop_Kusuma,24.86,25.7,88,Clouds,Sebagian Berawan,0.64,0.0,12
2026-05-19T03:00,Node_Warkop_Kusuma,28.98,32.87,71,Clouds,Sebagian Berawan,0.21,0.0,20
2026-05-19T06:00,Node_Warkop_Kusuma,30.74,34.78,62,Rain,Hujan Ringan,1.95,0.7,54
2026-05-19T09:00,Node_Warkop_Kusuma,29.13,33.01,70,Rain,Hujan Sedang,1.0,5.37,83
2026-05-19T12:00,Node_Warkop_Kusuma,25.62,26.46,85,Rain,Hujan Sedang,0.44,4.14,56
2026-05-19T15:00,Node_Warkop_Kusuma,24.94,25.79,88,Rain,Hujan Ringan,1.01,1.12,80
2026-05-19T18:00,Node_Warkop_Kusuma,23.86,24.73,93,Clouds,Berawan Tebal,1.4,0.0,78
2026-05-19T21:00,Node_Warkop_Kusuma,23.44,24.29,94,Clouds,Mendung,1.42,0.0,98
2026-05-20T00:00,Node_Warkop_Kusuma,24.78,25.66,90,Clouds,Mendung,1.35,0.0,99
2026-05-20T03:00,Node_Warkop_Kusuma,28.69,32.94,75,Clouds,Berawan Tebal,2.31,0.0,82
2026-05-20T06:00,Node_Warkop_Kusuma,31.11,35.6,62,Rain,Hujan Ringan,3.33,0.13,64
2026-05-20T09:00,Node_Warkop_Kusuma,29.26,33.92,73,Rain,Hujan Ringan,3.45,1.22,40
2026-05-20T12:00,Node_Warkop_Kusuma,25.66,26.53,86,Rain,Hujan Ringan,1.82,1.22,25
2026-05-20T15:00,Node_Warkop_Kusuma,24.8,25.71,91,Clouds,Sebagian Berawan,1.51,0.0,18
2026-05-20T18:00,Node_Warkop_Kusuma,24.3,25.19,92,Clouds,Berawan,0.82,0.0,43
2026-05-20T21:00,Node_Warkop_Kusuma,23.81,24.67,93,Clouds,Berawan Tebal,0.69,0.0,75
2026-05-21T00:00,Node_Warkop_Kusuma,25.1,25.96,88,Clouds,Berawan Tebal,0.28,0.0,67
2026-05-21T03:00,Node_Warkop_Kusuma,29.2,33.37,71,Clouds,Berawan Tebal,0.98,0.0,73
2026-05-21T06:00,Node_Warkop_Kusuma,31.3,35.76,61,Rain,Hujan Ringan,2.08,0.43,61
2026-05-21T09:00,Node_Warkop_Kusuma,28.98,33.85,76,Rain,Hujan Ringan,3.83,2.01,46
2026-05-21T12:00,Node_Warkop_Kusuma,25.7,26.68,90,Rain,Hujan Ringan,2.32,0.62,28
2026-05-21T15:00,Node_Warkop_Kusuma,24.61,25.55,93,Clear,Cerah,1.97,0.0,9
2026-05-21T18:00,Node_Warkop_Kusuma,24.14,25.06,94,Clouds,Sebagian Berawan,1.58,0.0,11
2026-05-21T21:00,Node_Warkop_Kusuma,23.78,24.67,94,Clouds,Berawan Tebal,1.47,0.0,61
2026-05-22T00:00,Node_Warkop_Kusuma,25.22,26.1,88,Clouds,Berawan Tebal,1.43,0.0,66
2026-05-22T03:00,Node_Warkop_Kusuma,29.17,33.1,70,Clouds,Mendung,1.78,0.0,98
2026-05-22T06:00,Node_Warkop_Kusuma,31.89,36.24,58,Rain,Hujan Ringan,0.75,0.11,88
2026-05-22T09:00,Node_Warkop_Kusuma,27.38,30.96,83,Rain,Hujan Ringan,2.96,1.24,98
2026-05-22T12:00,Node_Warkop_Kusuma,25.41,26.36,90,Rain,Hujan Ringan,2.1,0.26,78
2026-05-22T15:00,Node_Warkop_Kusuma,24.62,25.57,93,Rain,Hujan Ringan,1.46,0.15,92
2026-05-22T18:00,Node_Warkop_Kusuma,24.12,25.07,95,Clouds,Mendung,1.48,0.0,96
2026-05-22T21:00,Node_Warkop_Kusuma,23.76,24.67,95,Clouds,Berawan Tebal,1.28,0.0,54
2026-05-23T00:00,Node_Warkop_Kusuma,24.99,25.89,90,Clouds,Berawan Tebal,1.66,0.0,64
2026-05-23T03:00,Node_Warkop_Kusuma,29.19,33.34,71,Clouds,Berawan Tebal,2.18,0.0,54
