waktu,kota,suhu,suhu_terasa,kelembapan,kondisi,deskripsi,kecepatan_angin,curah_hujan,cloudiness
2025-12-01T00:00,Node_Warkop_Kusuma,23.5,27.5,89,Clouds,Mendung,4.3,0.0,100
2025-12-01T01:00,Node_Warkop_Kusuma,23.7,27.7,88,Clouds,Mendung,5.0,0.0,100
2025-12-01T02:00,Node_Warkop_Kusuma,23.8,27.5,87,Clouds,Mendung,6.2,0.0,100
2025-12-01T03:00,Node_Warkop_Kusuma,24.0,27.6,84,Clouds,Mendung,6.5,0.0,100
2025-12-01T04:00,Node_Warkop_Kusuma,23.5,27.2,86,Clouds,Mendung,4.7,0.0,99
2025-12-01T05:00,Node_Warkop_Kusuma,23.3,27.1,88,Clouds,Mendung,4.7,0.0,98
2025-12-01T06:00,Node_Warkop_Kusuma,24.0,27.8,87,Clouds,Mendung,6.9,0.0,100
2025-12-01T07:00,Node_Warkop_Kusuma,26.3,30.3,78,Clouds,Mendung,6.8,0.0,100
2025-12-01T08:00,Node_Warkop_Kusuma,27.5,30.9,72,Clouds,Mendung,9.5,0.0,99
2025-12-01T09:00,Node_Warkop_Kusuma,27.8,31.0,68,Drizzle,Gerimis ringan,9.4,0.1,91
2025-12-01T10:00,Node_Warkop_Kusuma,28.7,31.6,63,Clouds,Mendung,10.1,0.0,99
2025-12-01T11:00,Node_Warkop_Kusuma,29.6,32.0,59,Clouds,Mendung,12.2,0.0,100
2025-12-01T12:00,Node_Warkop_Kusuma,29.0,32.0,63,Clouds,Mendung,11.3,0.0,100
2025-12-01T13:00,Node_Warkop_Kusuma,29.8,32.4,60,Clouds,Berawan sebagian,12.8,0.0,55
2025-12-01T14:00,Node_Warkop_Kusuma,29.6,33.3,61,Clouds,Mendung,10.3,0.0,96
2025-12-01T15:00,Node_Warkop_Kusuma,28.9,31.8,64,Clouds,Berawan sebagian,11.2,0.0,70
2025-12-01T16:00,Node_Warkop_Kusuma,28.1,31.0,67,Clouds,Mendung,11.7,0.0,88
2025-12-01T17:00,Node_Warkop_Kusuma,26.8,30.1,74,Clouds,Mendung,10.4,0.0,81
2025-12-01T18:00,Node_Warkop_Kusuma,25.8,29.1,77,Clouds,Mendung,9.0,0.0,88
2025-12-01T19:00,Node_Warkop_Kusuma,25.9,29.3,77,Clouds,Mendung,8.8,0.0,100
2025-12-01T20:00,Node_Warkop_Kusuma,25.7,28.6,76,Clouds,Mendung,10.9,0.0,100
2025-12-01T21:00,Node_Warkop_Kusuma,25.2,28.0,77,Clouds,Mendung,10.3,0.0,100
2025-12-01T22:00,Node_Warkop_Kusuma,25.0,27.9,78,Clouds,Mendung,9.2,0.0,100
2025-12-01T23:00,Node_Warkop_Kusuma,24.6,27.7,80,Clouds,Mendung,9.4,0.0,100
2025-12-02T00:00,Node_Warkop_Kusuma,24.4,27.6,84,Clouds,Mendung,10.0,0.0,100
2025-12-02T01:00,Node_Warkop_Kusuma,24.4,27.8,88,Clouds,Mendung,10.6,0.0,98
2025-12-02T02:00,Node_Warkop_Kusuma,24.0,27.6,91,Clouds,Mendung,10.0,0.0,98
2025-12-02T03:00,Node_Warkop_Kusuma,23.8,27.4,92,Clouds,Mendung,10.7,0.0,99
2025-12-02T04:00,Node_Warkop_Kusuma,23.5,27.3,93,Clouds,Mendung,9.7,0.0,100
2025-12-02T05:00,Node_Warkop_Kusuma,23.4,27.3,94,Clouds,Mendung,8.3,0.0,100
2025-12-02T06:00,Node_Warkop_Kusuma,24.0,28.2,92,Clouds,Mendung,8.2,0.0,100
2025-12-02T07:00,Node_Warkop_Kusuma,26.4,31.0,85,Clouds,Cerah berawan,8.9,0.0,34
2025-12-02T08:00,Node_Warkop_Kusuma,28.2,32.2,73,Clear,Cerah,10.5,0.0,17
2025-12-02T09:00,Node_Warkop_Kusuma,29.6,34.0,64,Clouds,Cerah berawan,8.7,0.0,41
2025-12-02T10:00,Node_Warkop_Kusuma,30.8,36.5,59,Clouds,Mendung,6.3,0.0,98
2025-12-02T11:00,Node_Warkop_Kusuma,31.8,37.9,55,Clear,Cerah,3.8,0.0,17
2025-12-02T12:00,Node_Warkop_Kusuma,32.0,38.6,54,Clouds,Cerah berawan,2.2,0.0,34
2025-12-02T13:00,Node_Warkop_Kusuma,32.0,37.8,54,Clouds,Berawan sebagian,3.5,0.0,51
2025-12-02T14:00,Node_Warkop_Kusuma,30.5,36.3,62,Drizzle,Gerimis lebat,2.0,1.1,87
2025-12-02T15:00,Node_Warkop_Kusuma,28.6,32.4,71,Drizzle,Gerimis ringan,11.3,0.2,98
2025-12-02T16:00,Node_Warkop_Kusuma,27.0,31.2,80,Drizzle,Gerimis ringan,10.0,0.2,97
2025-12-02T17:00,Node_Warkop_Kusuma,26.5,30.4,81,Clouds,Mendung,10.9,0.0,100
2025-12-02T18:00,Node_Warkop_Kusuma,25.5,29.1,84,Clouds,Mendung,10.6,0.0,100
2025-12-02T19:00,Node_Warkop_Kusuma,24.5,29.4,95,Clouds,Mendung,7.4,0.0,100
2025-12-02T20:00,Node_Warkop_Kusuma,24.6,29.2,96,Drizzle,Gerimis,9.7,0.7,100
2025-12-02T21:00,Node_Warkop_Kusuma,24.5,29.2,95,Drizzle,Gerimis ringan,7.2,0.4,100
2025-12-02T22:00,Node_Warkop_Kusuma,24.1,28.8,96,Drizzle,Gerimis ringan,7.5,0.2,100
2025-12-02T23:00,Node_Warkop_Kusuma,24.0,28.5,96,Drizzle,Gerimis ringan,8.2,0.4,100
2025-12-03T00:00,Node_Warkop_Kusuma,23.9,28.5,96,Drizzle,Gerimis,7.6,0.6,100
2025-12-03T01:00,Node_Warkop_Kusuma,23.9,28.3,96,Drizzle,Gerimis ringan,9.1,0.4,100
2025-12-03T02:00,Node_Warkop_Kusuma,24.0,28.7,97,Drizzle,Gerimis,7.1,0.9,100
2025-12-03T03:00,Node_Warkop_Kusuma,23.9,28.7,98,Drizzle,Gerimis,6.4,0.5,100
2025-12-03T04:00,Node_Warkop_Kusuma,23.8,28.4,97,Rain,Hujan ringan,7.1,1.6,98
2025-12-03T05:00,Node_Warkop_Kusuma,23.8,28.4,96,Drizzle,Gerimis ringan,6.6,0.2,100
2025-12-03T06:00,Node_Warkop_Kusuma,23.5,27.0,96,Drizzle,Gerimis ringan,13.2,0.3,100
2025-12-03T07:00,Node_Warkop_Kusuma,25.5,30.0,91,Drizzle,Gerimis ringan,11.2,0.4,88
2025-12-03T08:00,Node_Warkop_Kusuma,26.4,30.2,84,Clouds,Mendung,12.9,0.0,100
2025-12-03T09:00,Node_Warkop_Kusuma,25.7,30.3,85,Clouds,Berawan sebagian,6.4,0.0,75
2025-12-03T10:00,Node_Warkop_Kusuma,26.6,31.3,82,Drizzle,Gerimis ringan,7.0,0.1,92
2025-12-03T11:00,Node_Warkop_Kusuma,28.4,33.5,74,Clouds,Mendung,4.1,0.0,100
2025-12-03T12:00,Node_Warkop_Kusuma,28.5,33.3,72,Clouds,Mendung,4.1,0.0,100
2025-12-03T13:00,Node_Warkop_Kusuma,29.6,34.7,69,Clouds,Mendung,6.2,0.0,100
2025-12-03T14:00,Node_Warkop_Kusuma,27.4,31.8,78,Drizzle,Gerimis lebat,8.2,1.0,99
2025-12-03T15:00,Node_Warkop_Kusuma,27.3,31.7,79,Clouds,Mendung,8.6,0.0,98
2025-12-03T16:00,Node_Warkop_Kusuma,28.0,32.9,76,Clouds,Mendung,5.6,0.0,98
2025-12-03T17:00,Node_Warkop_Kusuma,27.9,32.8,77,Clouds,Mendung,5.8,0.0,100
