tanggal,total_pendapatan
2026-04-01,2579000
2026-04-02,2454000
2026-04-03,3894400
2026-04-04,3061100
2026-04-05,3269900
2026-04-06,1955400
2026-04-07,980200
2026-04-08,1300300
2026-04-09,1629200
2026-04-10,2933400
2026-04-11,4922600
2026-04-12,3686100
2026-04-13,2317200
2026-04-14,2208800
2026-04-15,2446400
2026-04-16,2298400
2026-04-17,3786400
2026-04-18,5819000
2026-04-19,3683200
2026-04-20,2144000
2026-04-21,2804500
2026-04-22,1552700
2026-04-23,3251500
2026-04-24,2025300
2026-04-25,5702000
2026-04-26,3376000
2026-04-27,2296900
2026-04-28,508000
2026-04-29,338000
2026-04-30,215300
2026-05-01,5367600
2026-05-02,4489400
2026-05-03,3121000
2026-05-04,1608000
2026-05-05,2789600
2026-05-06,1822700
2026-05-07,2814000
2026-05-08,4818000
2026-05-09,4619000
2026-05-10,3228300
2026-05-11,2771500
2026-05-12,2432200
2026-05-13,3825300
2026-05-14,3218100
2026-05-15,2909800
2026-05-16,5674600
